Date,AAPL,JNJ,JPM,XOM,AMZN,KO,NVDA,PG,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2018-06-25,42.96165466308594,99.40435028076172,84.67729949951172,56.06020736694336,83.15750122070312,34.570159912109375,5.919100761413574,63.552833557128906,-1.48,-0.46,0.57,0.65,0.17,0.01,-1.14
2018-06-26,43.49463653564453,99.20975494384766,84.73385620117188,56.69296646118164,84.55449676513672,34.37184524536133,5.990143299102783,63.72443389892578,0.27,0.51,-0.24,-0.51,0.06,0.01,0.43
2018-06-27,43.43096160888672,98.60970306396484,83.42481231689453,57.44520950317383,83.02549743652344,34.165592193603516,5.8349385261535645,63.47114181518555,-1.02,-1.01,0.36,-0.07,0.52,0.01,-0.34
2018-06-28,43.746971130371094,98.92593383789062,84.79043579101562,57.62799072265625,85.07250213623047,34.48289489746094,5.96217155456543,63.7652587890625,0.58,-0.2,-0.51,-0.2,-0.58,0.01,0.49
2018-06-29,43.655006408691406,98.39076232910156,84.2005386352539,58.16230392456055,84.98999786376953,34.79226303100586,5.864145755767822,63.77342987060547,0.06,-0.24,-0.24,-0.25,0.01,0.01,-0.01
2018-07-02,44.14317321777344,98.58538055419922,84.91165161132812,57.48035430908203,85.68900299072266,34.70500564575195,5.996331691741943,63.83060836791992,0.36,0.45,-0.25,-0.08,-0.54,0.01,0.57
2018-07-03,43.37434387207031,99.50167083740234,83.72377014160156,57.817813873291016,84.697998046875,34.8953857421875,5.862661838531494,63.642696380615234,-0.44,0.76,-0.02,-0.28,0.45,0.01,-0.64
2018-07-05,43.72339630126953,101.3585433959961,84.26812744140625,57.86702346801758,84.98650360107422,35.42687225341797,6.008460998535156,64.71294403076172,0.87,0.39,-0.43,0.33,-0.17,0.01,-0.32
2018-07-06,44.3294792175293,101.96668243408203,84.54436492919922,57.881080627441406,85.53150177001953,35.41101837158203,6.12232780456543,64.79464721679688,0.88,-0.02,-0.3,-0.26,-0.15,0.01,0.1
2018-07-09,44.945011138916016,102.2099380493164,87.16048431396484,58.28181076049805,86.95099639892578,35.22062683105469,6.169854640960693,63.61002731323242,0.93,-0.29,0.86,0.01,-0.21,0.01,0.49
2018-07-10,44.8907585144043,103.28840637207031,86.62427520751953,58.81612014770508,87.15350341796875,35.67277526855469,6.268868923187256,65.21131134033203,0.21,-0.83,-0.16,0.11,0.29,0.01,-0.19
2018-07-11,44.30826950073242,102.364013671875,86.43738555908203,58.06388473510742,87.75,35.529998779296875,6.1272783279418945,64.6720962524414,-0.7,-0.06,-0.46,-0.12,-0.33,0.01,0.02
2018-07-12,45.0511360168457,103.59654998779297,86.81112670898438,58.13420104980469,89.83100128173828,35.43479537963867,6.218866348266602,64.45149230957031,0.85,-0.44,-1.16,-0.04,-0.48,0.01,0.54
2018-07-13,45.12187194824219,102.1126708984375,86.41300964355469,58.570064544677734,90.65149688720703,35.49032974243164,6.171586513519287,64.79464721679688,0.08,-0.18,-0.29,0.33,0.18,0.01,0.2
2018-07-16,45.0228271484375,101.10717010498047,89.84159088134766,57.99358367919922,91.12449645996094,35.482398986816406,6.143862724304199,64.9743881225586,-0.16,-0.61,0.97,-0.21,-0.14,0.01,0.38
2018-07-17,45.15018844604492,104.69123077392578,89.77660369873047,57.86702346801758,92.19650268554688,35.8948974609375,6.279760837554932,65.38286590576172,0.48,0.17,-0.74,0.12,-0.23,0.01,0.41
2018-07-18,44.902557373046875,103.62896728515625,90.61341094970703,57.803775787353516,92.14600372314453,35.79176712036133,6.2305006980896,65.1296157836914,0.26,-0.15,0.68,-0.17,-0.15,0.01,0.38
2018-07-19,45.251590728759766,102.12076568603516,89.28102111816406,57.65611267089844,90.64849853515625,35.78382873535156,6.238669395446777,64.90455627441406,-0.34,0.92,-0.36,0.22,0.04,0.01,-0.08
2018-07-20,45.14781951904297,102.04779052734375,90.41030883789062,57.227264404296875,90.68499755859375,35.91868591308594,6.210451602935791,64.86332702636719,-0.1,-0.17,0.11,0.09,-0.22,0.01,0.26
2018-07-23,45.18791580200195,102.68024444580078,92.09208679199219,57.227264404296875,90.0999984741211,35.65690612792969,6.1738152503967285,64.72317504882812,0.16,-0.19,0.54,-0.21,-0.2,0.01,0.38
2018-07-24,45.51572036743164,104.89393615722656,92.7420654296875,58.359169006347656,91.46199798583984,35.9028205871582,6.156486988067627,65.11888122558594,0.22,-1.33,0.39,0.49,0.08,0.01,-0.37
2018-07-25,45.944942474365234,104.29388427734375,93.57889556884766,58.76690673828125,93.18049621582031,36.56123733520508,6.234709739685059,65.51461029052734,0.83,-0.59,-1.06,0.07,-0.33,0.01,1.09
2018-07-26,45.80107879638672,105.63993072509766,93.31078338623047,59.22389221191406,90.4000015258789,36.680213928222656,6.308227062225342,66.02571105957031,-0.21,0.76,0.58,-0.04,0.59,0.01,-0.98
2018-07-27,45.03934097290039,106.66971588134766,94.26948547363281,57.592830657958984,90.8635025024414,36.65642166137695,6.238422870635986,66.42970275878906,-0.82,-1.21,1.06,0.51,0.5,0.01,-1.33
2018-07-30,44.78699493408203,107.17247009277344,94.83819580078125,57.46628952026367,88.96099853515625,36.67228317260742,6.043115615844727,66.11642456054688,-0.7,0.02,1.59,0.31,1.03,0.01,-1.42
2018-07-31,44.87661361694336,107.4562759399414,93.39201354980469,57.304603576660156,88.87200164794922,36.98959732055664,6.06118631362915,66.67699432373047,0.51,0.72,-1.1,0.27,0.24,0.01,0.07
2018-08-01,47.52031326293945,107.55358123779297,93.96888732910156,56.517189025878906,89.8584976196289,36.79921340942383,6.101038932800293,66.48739624023438,-0.13,-0.01,-0.22,-0.16,-0.79,0.01,1.11
2018-08-02,48.90935516357422,106.42647552490234,94.36697387695312,56.17973709106445,91.71649932861328,36.632633209228516,6.2037672996521,67.6003189086914,0.67,0.19,-0.65,-0.03,-0.55,0.01,0.83
